Organization Name,startup_uuid,Organization Name URL,Number of Founders,Founders
Ticketfly,0232d017-6383-449a-f2b4-b5a965ae4aed,https://www.crunchbase.com/organization/ticketfly,2,"Andrew Dreskin, Dan Teree"
Sefaira,023dc02a-e990-5ad1-f539-17e9ef039288,https://www.crunchbase.com/organization/sefaira,2,"Mads Jensen, Peter Krebs"
Thistle,0262e1ac-8b4e-e0c8-7151-420fc64b4475,https://www.crunchbase.com/organization/thistle,5,"Alap Shah, Ariel Dubov, Ashwin Cheriyan, Sheel Mohnot, Shiri Avnery"
Kukui,0268df38-cebe-19e8-9f07-35e86f7013f9,https://www.crunchbase.com/organization/kukui-corporation,2,"Ian Utile, Ryan Wilmot"
Bugcrowd,02984842-e612-158b-cba1-efca41eacd29,https://www.crunchbase.com/organization/bugcrowd,3,"Casey Ellis, Chris Raethke, Sergei Belokamen"
Feathr,02bbbdb6-ac28-109f-6331-46f23609b3f6,https://www.crunchbase.com/organization/feathr,2,"Aidan Augustin, Aleksander Levental"
Motif,02c6c841-a03a-79ed-9b19-87bb3998ff82,https://www.crunchbase.com/organization/motif-investing,2,"Hardeep Walia, Tariq Hilaly"
Doctor On Demand,02ccc89c-e7b8-3e32-c868-a637bd5851fb,https://www.crunchbase.com/organization/doctor-on-demand,3,"Adam Jackson, Jay McGraw, Phil McGraw"
Wappier,03074845-906e-d19b-3a00-9a0164b074a9,https://www.crunchbase.com/organization/wappier,2,"Alex Moukas, Demetri Tsirlis"
"PERI, Inc.",03250db5-e3b0-bb01-11a0-9fb340c9ed3c,https://www.crunchbase.com/organization/peri-inc-,2,"Michael Hsu, Mohammad Tabatabai"
Triplemint,03293860-eee2-4343-e7de-089b314d1ccc,https://www.crunchbase.com/organization/triplemint,2,"David Walker, Philip Lang"
Survios,035af49d-809b-bcde-bfc8-22822877d22b,https://www.crunchbase.com/organization/survios,3,"Alexander Silkin, James Iliff, Nathan Burba"
RapidSOS,03919082-40af-7d19-de9c-fd319257fe58,https://www.crunchbase.com/organization/rapidsos,2,"Michael Martin, Nick Horelik"
Eightfold,039bbc22-1fae-4b11-8caf-705e3d09291e,https://www.crunchbase.com/organization/eightfold,2,"Ashutosh Garg, Varun Kacholia"
SHIFT,03ad5802-a9da-9871-3620-f0fb6c962a9e,https://www.crunchbase.com/organization/shift,2,"Clark Landry, James Borow"
"Laicos, Inc.",03db198a-5311-b432-bf83-233bd9bc4b66,https://www.crunchbase.com/organization/laicos,2,"Kyle Matthews, Ryan Negri"
Talent Rover,03dc8ac7-7084-eeac-2d89-72e316e424ae,https://www.crunchbase.com/organization/talent-rover,2,"Brandon Metcalf, Kent Gray"
SmartPath Financial Wellness,03dd4d1a-9015-25d6-3f24-0e0a201ff501,https://www.crunchbase.com/organization/smartpath,3,"Alok Deshpande, Jon Pokrzyk, Stuart Lawder"
CoPromote,03e221bb-7d79-0a18-774c-753092a1f9a2,https://www.crunchbase.com/organization/copromote,3,"Bill Cromie, Christopher Lee, Mike More"
Latch,03e88186-96c0-f71f-1c02-531799c17f09,https://www.crunchbase.com/organization/latch,3,"Brian Jones, Luke Schoenfelder, Thomas Meyerhoffer"
Vertoe,04058cc9-08a6-48fb-8abf-1bf3dc4237bd,https://www.crunchbase.com/organization/vertoe,2,"Neha Kesarwani, Sid Khattri"
TVPage,045a5047-0662-8916-dfcb-748a92082643,https://www.crunchbase.com/organization/tvpage-inc,3,"Allon Caidar, Lior Kuyer, Matt Babineau"
Uhana,048af546-5488-9d37-0542-7bfb70a4665b,https://www.crunchbase.com/organization/uhana,2,"Manu Bansal, Sachin Katti"
Malauzai Software,04ca02a6-3008-3ecf-7d52-7a37e2050f5f,https://www.crunchbase.com/organization/malauzai-software,2,"Danny Piangerelli, Tom Shen"
Outreach,04cccacb-54be-b7c3-2300-b6b9e557831b,https://www.crunchbase.com/organization/outreach,3,"Andrew Kinzer, Gordon Hempton, Wes Hather"
OZY Media,04d21419-5420-e35f-7165-67dd6d2109fc,https://www.crunchbase.com/organization/ozy-media,3,"Carlos Watson, Louise Rogers, Samir Rao"
Instaclustr,04dccd65-0d1a-11ce-ff4d-5a0178a8f58e,https://www.crunchbase.com/organization/instaclustr,4,"Adam Zegelin, Ben Bromhead, Doug Stuart, Peter Lilley"
Bidgely,04f0e4e0-8f6f-ca03-09ec-e945ad7179fe,https://www.crunchbase.com/organization/bidgely,2,"Abhay Gupta, Vivek Garud"
Fivetran,04f3819f-c640-b2fc-f11b-16d30c3bb9d1,https://www.crunchbase.com/organization/fivetran,2,"George Fraser, Taylor Brown"
Tapiture,05289e00-48a6-a67b-afc8-01b3ccd11b61,https://www.crunchbase.com/organization/tapiture,3,"John Ellis, John Resig, Leo Resig"
Myki,052a77f7-2839-3dbd-3960-70090fc7a42c,https://www.crunchbase.com/organization/ki,2,"Antoine Vincent Jebara, Priscilla Elora Sharuk"
Social High Rise,052c4819-cd63-80f0-30af-0f27b4f5152d,https://www.crunchbase.com/organization/social-high-rise,2,"Andrew March, Mark Sorenson"
Blackbird Technologies,052cdfa0-817c-342b-3143-87a9fc574e74,https://www.crunchbase.com/organization/blackbird-technologies,2,"Manju Rajashekhar, Nikhil Raghavan"
Bytemark,0541207f-e851-67f4-71d7-3ab73aa16012,https://www.crunchbase.com/organization/bytemark-inc,6,"Christopher Guess, Greg Valyer, Matthew Grasser, Micah Bergdale, Nick Ihm, Sam Krueckeberg"
VisitDays,055e4552-7a04-cb66-a087-03ba97d44c83,https://www.crunchbase.com/organization/visitdays,2,"Michael Moore, Sujoy Roy"
360 Payments,0565d67c-caad-4aa6-a947-f3f1badbe244,https://www.crunchbase.com/organization/360-payments,2,"David Quintana, Lisa Coyle"
Volare Systems,058b4b42-9556-4bd0-90c4-ea21dbbcb701,https://www.crunchbase.com/organization/volare-systems,2,"Darien Wilson, Joe Wilson"
LookBooker,05a9355c-26e0-6fc6-65e1-9ab4b387031d,https://www.crunchbase.com/organization/lookbooker,2,"Giorgia Rossi, Renee Robbie"
University Beyond,05addefd-726f-40a3-f2f4-47f123bddce3,https://www.crunchbase.com/organization/university-beyond,5,"Brendan Weinstein, Doug Messer, Lynn Casey, Michael Spitalieri, Rich Anand"
Agent IQ,05becba9-204a-ab05-aa69-0a622bdd9b86,https://www.crunchbase.com/organization/agent-iq,2,"Craig Davis, Slaven Bilac"
PetWell Partners,05cb22df-72b7-e9e4-45f1-524a2e21821a,https://www.crunchbase.com/organization/petwell-partners,2,"David Murvin, David Strauss"
BeatBox Beverages,05d8fec1-b6e0-4964-42bb-071f89985ada,https://www.crunchbase.com/organization/beatbox-beverages,5,"Aimy Steadman, Brad Schultz, Dan Singer, Jason Schieck, Justin Fenchel"
One Brand Marketing,05e14ac6-405b-4ff8-9c83-daecc8ea6c92,https://www.crunchbase.com/organization/one-brand-marketing,3,"Brian Cheaney, Jake Fassnacht, Jeff Kingsford"
Industrious,05e1e90f-dc69-da1c-1ef7-1158bf65e800,https://www.crunchbase.com/organization/industrious-office,2,"Jamie Hodari, Justin Stewart"
Status Labs,06255830-b7c0-acdd-00ae-47351ef08a73,https://www.crunchbase.com/organization/status-labs,3,"Darius Fisher, Jesse Boskoff, Jordan French"
The Daily Dot,0625786d-d88a-f39e-ad3c-be3d7802cdba,https://www.crunchbase.com/organization/the-daily-dot,2,"Josh Jones-Dilworth, Nova Spivack"
Windsor Circle,06491a3e-399e-c6af-c7a2-8f8b363cfbb2,https://www.crunchbase.com/organization/windsor-circle,4,"Brad McGinity, Chris Humphres, Matt Williamson, Scot Catlin"
2ULaundry,06585e67-25d0-8d49-0d93-aa6b0a435f86,https://www.crunchbase.com/organization/2u-laundry,2,"Alex Smereczniak, Dan D'Aquisto"
Everfest.com,067c7c27-9b9a-9b71-5029-b2fbfac8d43f,https://www.crunchbase.com/organization/everfest-com,3,"Brad Dixon, Jay Manickam, Paul Cross"
Magnet Systems,06805ebd-e371-7c10-309f-d26e534629ac,https://www.crunchbase.com/organization/magnet-systems,2,"Alfred Chuang, Renee Barton"
Snappy Gifts,068a7939-e99c-4f39-2cca-1396cbeae6a5,https://www.crunchbase.com/organization/snappy-app,2,"Dvir Cohen, Hani Goldstein"
Malwarebytes,06913207-db0b-5fad-3ba2-8333aefc6c0a,https://www.crunchbase.com/organization/malwarebytes,4,"Bruce Harrison, Doug Swanson, Marcin Kleczynski, Marcus Chung"
Avanan,06c029fa-eea1-598a-d3cc-4e98b849776e,https://www.crunchbase.com/organization/avanan,3,"Gil Friedrich, Michael Landewe, Roy Rotem"
aro,07254e6b-d1cc-4353-8a73-15e257881a20,https://www.crunchbase.com/organization/aro,2,"Gabriela Trueba, Matt Barth"
TechCanary,07358b46-52b9-f2ab-99c9-bafecb3d6b91,https://www.crunchbase.com/organization/techcanary,2,"Christopher Phillips, Reid Holzworth"
Honorlock,073cad79-6046-50f0-8c7e-1f79936236a6,https://www.crunchbase.com/organization/honorlock,2,"Adam Roth, Elena Soboleva"
Quantela,076f1e1c-480f-05b8-238c-b52079f60d17,https://www.crunchbase.com/organization/paradigm-creatives,3,"Prakash Dantuluri, Raju Indukuri, Sridhar Gadhi"
Funraise,07831f49-3301-5304-2022-6c1277d8675d,https://www.crunchbase.com/organization/funraise,3,"Jason Swenski, Justin Wheeler, Tony Sasso"
Ginkgo Bioworks,07a5b5ff-a151-f341-c4cd-084b7bfa3abe,https://www.crunchbase.com/organization/ginkgo-bioworks,5,"Austin Che, Barry Canton, Jason Kelly, Reshma Shetty, Tom Knight"
PeerIQ,07be09ce-f732-5394-1498-35f3856c52b6,https://www.crunchbase.com/organization/peeriq,4,"Dan Long, J M, Ram Ahluwalia, Robert Khedouri"
Ossic,07d98e61-b692-bfc9-43dd-c126ecbb3dd2,https://www.crunchbase.com/organization/ossic,5,"David Carr, Jason Riggs, Jason Riggs, Joy Lyons, Joy Lyons"
TaskRabbit,07e8bad7-909a-09fb-2584-a50c6a432aa0,https://www.crunchbase.com/organization/taskrabbit,3,"Brian Leonard, Kevin Busque, Leah Busque"
Contactually,07f99837-c7af-1906-a14b-d9f34125e734,https://www.crunchbase.com/organization/contactually,3,"Jeff Carbonella, Tony Cappaert, Zvi Band"
Second Spectrum,07fc1ffc-fb1c-1bc1-81e8-4d184199e60c,https://www.crunchbase.com/organization/second-spectrum,3,"Jeff Su, Rajiv Maheswaran, Yu-Han Chang"
TapClicks,080d0c8e-ada9-e285-fa3e-ce8031694dd8,https://www.crunchbase.com/organization/tapclicks,3,"Babak Hedayati, Colby West, Michael Mertz"
Kiswe Mobile,08129244-5751-ebe1-36ae-fe03afce1d24,https://www.crunchbase.com/organization/kiswe-mobile,3,"Jeong Kim, Jimmy Lynn, Wim Sweldens"
Voci Technologies,08228d7a-9581-1296-b529-ba54693335d7,https://www.crunchbase.com/organization/voci-technologies,2,"Anthony Gadient, Edward Lin"
Mokriya,082e841b-0e70-009e-8ea8-db0d6ede8edc,https://www.crunchbase.com/organization/mokriya-com,2,"Pranil Kanderi, Sunil Kanderi"
TrackR,082ece8e-b3bc-4c63-9f38-d528655e5098,https://www.crunchbase.com/organization/trackr,2,"Chris Herbert, Christian Johan Smith"
OmniiX,084c35e9-9623-4bdd-8406-12bbc53ec9f6,https://www.crunchbase.com/organization/omniix,3,"John Collins, Rick Sauls, Stormey Collins"
Tegile Systems,0853f2e1-d3ce-fc24-7e47-0489dcb8daca,https://www.crunchbase.com/organization/tegile-systems,2,"Rajesh Nair, Rohit Kshetrapal"
Emailage,0867568d-4614-a176-646a-c2fba6545e91,https://www.crunchbase.com/organization/emailage,2,"Rajesh Pandey, Rei Carvalho"
Glowforge,086fbab2-976c-c815-44ac-73ab40c80996,https://www.crunchbase.com/organization/glowforge,3,"Dan Shapiro, Mark Gosselin, Tony Wright"
Planetary Resources,08ddf0b8-77d3-2c76-021e-65f1346e8222,https://www.crunchbase.com/organization/planetary-resources,2,"Eric Anderson, Peter Diamandis"
Ylopo,0909de64-7f1a-c2b4-30f6-a2790e4effeb,https://www.crunchbase.com/organization/ylopo,3,"Howard Tager, Juefeng Ge, Vian Chinner"
Feature Labs,090caea8-2559-4db9-acf6-3638ad1ad276,https://www.crunchbase.com/organization/feature-labs,3,"Ben Schreck, Kalyan Veeramachaneni, Max Kanter"
Tinkergarten,090f412a-e138-8cbc-8437-09fd1fa34fa7,https://www.crunchbase.com/organization/tinkergarten,2,"Brian Fitzgerald, Meghan Fitzgerald"
Cryptozoic Entertainment,091b2bad-4457-56ae-5bbf-115b2ba88545,https://www.crunchbase.com/organization/cryptozoic-entertainment,2,"John Sepenuk, Scott Gaeta"
Workify,09240c75-b538-7753-af69-0f4e61870392,https://www.crunchbase.com/organization/workify,2,"Dustin Wells, Stephen Huerta"
CloudPassage,0936882c-db2f-fb21-cb2b-3698b4d5f6dd,https://www.crunchbase.com/organization/cloudpassage,3,"Carson Sweet, Talli Somekh, Vitaliy Geraymovych"
Locket,095e1ba4-0a84-96ea-e587-bb746d9f47d2,https://www.crunchbase.com/organization/locket,3,"Kaushik Pendurthi, Paul Jang, Yunha Kim"
Gusto,095e5ba9-1bc6-2f84-6610-29af868859d2,https://www.crunchbase.com/organization/gusto,3,"Edward Kim, Joshua Reeves, Tomer London"
CloudCheckr,098f03ff-9bce-1e7d-eb63-7ce7162daead,https://www.crunchbase.com/organization/cloudcheckr,2,"Aaron Klein, Aaron Newman"
8minutenergy Renewables,09aa45c9-0113-bbd3-5976-fa8e67c90a88,https://www.crunchbase.com/organization/8minutenergy-renewables,2,"Martin Hermann, Tom Buttgenbach"
Audentes Therapeutics,09b14a63-6fa0-f547-4444-a6b834b67a39,https://www.crunchbase.com/organization/audentes-therapeutics,2,"Matthew Patterson, Thomas Schuetz"
Wynk,09b599cb-abb9-b5b9-1c28-0611fbeee169,https://www.crunchbase.com/organization/wynk,3,"Carolina Torrens, Carolina Torrens, Lauren Budzich"
Front App,09c002e2-918d-7caa-ebbc-96656f13dff8,https://www.crunchbase.com/organization/front-app,3,"Laurent Perrin, Mathilde Collin, Thibaud Elziere"
WHOOP,09cec881-5779-86f0-6a9e-00f62ca6d67c,https://www.crunchbase.com/organization/whoop,3,"Aurelian Nicolae, John Capodilupo, Will Ahmed"
Num Pang Sandwich Shop,09eb9456-d96f-51d4-4ac0-4b74237abad2,https://www.crunchbase.com/organization/num-pang-sandwich-shop,2,"Ben Daitz, Ratha Chaupoly"
Orderly by Siftit Inc.,09f30a7b-f11e-f925-d1e0-a800b5c23263,https://www.crunchbase.com/organization/siftit,3,"Alon Goren, John Heyman, Mark E. Haidet"
Nutanix,0a1094cc-4457-f5cf-5af4-7ee9d901579e,https://www.crunchbase.com/organization/nutanix,3,"Ajeet Singh, Dheeraj Pandey, Mohit Aron"
MineralSoft,0a3b5873-fc4a-6b15-1254-6f529f457930,https://www.crunchbase.com/organization/mineralsoft,2,"Gabe Wilcox, Jon Parker"
RubiconMD,0a4137c9-3722-667e-c9d2-2db4796e6fd3,https://www.crunchbase.com/organization/rubiconmd,3,"Carlos Reines, Gil Addo, Julien Pham"
tilr corporation,0a45cd90-cd61-4d11-510a-9b3d9d87675e,https://www.crunchbase.com/organization/tilr-corporation,5,"Carisa Miklusak, Luke Vigent, Sam Pillersdorf, Stephen Shefsky, Summer Crenshaw"
ONE400,0a720810-b0d7-7bb1-d1e5-7d2374fcbfa2,https://www.crunchbase.com/organization/one400,2,"Allen Rodriguez, Eva Hibnick"
UPshow,0a739ed3-2650-1241-f349-732b123bc8a0,https://www.crunchbase.com/organization/upshow,2,"Adam Hirsen, Matt Gibbs"
INFLC,0a85d4ad-be2d-4651-a3ea-22a3c47039ef,https://www.crunchbase.com/organization/inflc,3,"Daisah Riley, Dom Bookman, Sultan Khan"
Cloud Elements,0a920445-ab62-4d6b-85fa-c5142076e669,https://www.crunchbase.com/organization/cloud-elements,4,"Atul Barve, Gary Gaessler, Mark Geene, Vineet Joshi"
Ridecell,0ab599c0-0644-6dd7-72e0-c89b1f725263,https://www.crunchbase.com/organization/ridecell,3,"Aarjav Trivedi, ArunKumar Elangovan, Steve Dickerson"
Wiser Solutions,0abdf3b9-51e8-9158-a3e0-50ce7f74c920,https://www.crunchbase.com/organization/wiser-solutions-inc,6,"Andy Ballard, Arie Shpanya, Prahar Shah, Raaid Hossain, Roey Brecher, Thibault Le Conte"
CityMD,0b03e378-396f-3814-a6b3-2dfe180eedab,https://www.crunchbase.com/organization/citymd,2,"Nedal Shami, Richard Park"
Replenish,0b07fca1-dba2-1309-e9f4-4e0885349239,https://www.crunchbase.com/organization/replenish,2,"Elise Polezel, Matthew Udomphol"
FiComm Partners,0b14301f-a4e1-4579-a810-27121771f620,https://www.crunchbase.com/organization/ficomm-partners,2,"Jason Lahita, Megan Carpenter"
MyCity Social,0b6ce211-ad5b-638c-151d-1ae3aad9440c,https://www.crunchbase.com/organization/mycity-social,2,"Andrew Christo, Nicholas Christo"
CipherHealth,0b774407-60a7-873f-519d-e2b9ec86f9d3,https://www.crunchbase.com/organization/cipherhealth,4,"Alex Hejnosz, Darshan Bachhawat, Randy Cheung, Zach Silverzweig"
R3,0b7e8f3d-96a1-4ab5-0bb5-199f0b24996a,https://www.crunchbase.com/organization/r3,2,"David Rutter, Todd McDonald"
SessionM,0ba4515f-41f9-7747-ad25-0052a844caf4,https://www.crunchbase.com/organization/sessionm,3,"Lars Albright, Mark Herrmann, Scott Weller"
Bungee,0badeeab-76b6-413a-b636-b6841954294d,https://www.crunchbase.com/organization/bungee,2,"Charles Ding, Rajat Nigam"
Food52,0bbfd399-ba3a-f1f6-eb55-9b0d3d0b1572,https://www.crunchbase.com/organization/food52,2,"Amanda Hesser, Merrill Stubbs"
Recursion Pharmaceuticals,0bc57a74-cd37-e643-9d5c-2b409f4a7e48,https://www.crunchbase.com/organization/recursion-pharmaceuticals,3,"Blake Borgeson, Chris Gibson, Dean Li"
ZipRecruiter,0bf726bf-1902-1756-ca9e-a4c8cd6a90a4,https://www.crunchbase.com/organization/ziprecruiter,4,"Ian Siegel, Joe Edmonds, Ward Poulos, Willis Redd"
Docent Health,0c03d503-3dde-7863-b2de-31fef4a07ee8,https://www.crunchbase.com/organization/docent-health,2,"Paul Roscoe, Royal Tuthill"
NanoRacks,0c15f548-df37-5008-655a-523a480e6d72,https://www.crunchbase.com/organization/nanoracks,3,"Charles Miller, Jeffrey Manber, Michael D. Johnson"
MacStadium,0c3b7e81-7fb0-7755-706e-ae5f1c4afa61,https://www.crunchbase.com/organization/macstadium,2,"Greg McGraw, Jason Michaud"
500Friends,0c4b8b7b-e93f-b904-9490-44ce9e593723,https://www.crunchbase.com/organization/500friends,3,"Bob Tekiela, Hong Hu, Justin Yoshimura"
Bottlenose,0c5e2a7d-efe9-d98b-a877-946617dae9ea,https://www.crunchbase.com/organization/bottlenose,2,"Dominiek ter Heide, Nova Spivack"
Chartboost,0c5e885d-c52a-4d3a-2fb5-d39a74aa67c6,https://www.crunchbase.com/organization/chartboost,2,"Maria Alegre, Sean Fannan"
MOJO Marketplace,0c7217cc-8c7e-b4d0-6d4f-de675bfd9ab1,https://www.crunchbase.com/organization/mojo-marketplace,2,"Brady Nord, J.R. Farr"
Xendoo,0c89ddbf-490d-4af2-9d36-be48627dd102,https://www.crunchbase.com/organization/xendoo,2,"Lillian Roberts, Steven Gelley"
Quiet Logistics,0ce20a23-cc9a-9132-7605-96878826da9a,https://www.crunchbase.com/organization/quiet-logistics,2,"Bruce E. Welty, Michael C. Johnson"
Bugsnag,0ce9ab23-01ab-e85d-607c-d302735376ce,https://www.crunchbase.com/organization/bugsnag,2,"James Smith, Simon Maynard"
Talkspace,0cf8891f-7afb-1494-7d6c-3a1589074c5e,https://www.crunchbase.com/organization/talkspace,2,"Oren Frank, Roni Frank"
Sightbox,0d0f447f-dd62-9b0e-df09-f98b2052ad57,https://www.crunchbase.com/organization/sightbox,2,"Darius Monsef, Travis Rush"
Guild Education,0d18fe91-4e46-c07e-1a7f-1a785f9dbb69,https://www.crunchbase.com/organization/guild-education,2,"Brittany Stich, Rachel Carlson"
Brixio,0d223fc4-d8be-ab68-ed89-8fcae8fcfc7e,https://www.crunchbase.com/organization/brixio,5,"Nate Bray, Owen Fisher, Ryan McCoy, Ryan Williams, Steve Sandholtz"
Allure Systems,0d2387c6-e552-d78e-1237-d56756316777,https://www.crunchbase.com/organization/allure-systems,2,"Gabrielle Chou, Jeremy Chamoux"
Connectivity,0d28256b-f176-1075-3e15-5272215f789c,https://www.crunchbase.com/organization/connectivity,2,"Emad Fanous, Erron Silverstein"
Wingz,0d2c2837-144d-1f48-3160-64c77ff593f6,https://www.crunchbase.com/organization/wingz,4,"Christof Baumbach, Frederic Gomez, Geoff Mathieux, Jeremie Romand"
LightSail Education,0d4f8677-2c0c-0a81-a8d1-ce35ff447bc7,https://www.crunchbase.com/organization/lightsail-education,2,"Gideon Stein, Jessica Sliwerski"
Clarisights,0d58b835-7407-4b75-9924-68db5f4e29d2,https://www.crunchbase.com/organization/clarisights,2,"Ankur Gupta, Arun Srinivasan"
zero,0d73705d-5ad8-680e-d134-287b67419485,https://www.crunchbase.com/organization/zero,4,"Ana Arriola, Kouji Kodera, Peter Karsten, Tomotsugu Tago"
TrialSpark,0d806bb7-7951-b00c-460f-8a7be9429ca8,https://www.crunchbase.com/organization/trialspark,3,"Benjamine Liu, Kit Dobyns, Linhao Zhang"
Aristotle Circle,0d86743c-8e45-8d04-dea8-09fb4ffab5a4,https://www.crunchbase.com/organization/aristotle-circle,2,"Suzanne Rheault, Suzanne Starnes"
Nutrafol,0d97160d-1751-1229-038b-a4cb94ec6d3f,https://www.crunchbase.com/organization/nutrafol,2,"Giorgos Tsetis C.E., Roland Peralta"
Paxful,0db18281-0bff-66e1-838d-890442d690be,https://www.crunchbase.com/organization/paxful,2,"Artur Schaback, Ray Youssef"
Adaptive Medical Partners,0e054451-0887-4290-a862-b4127a121e86,https://www.crunchbase.com/organization/adaptive-medical-partners,2,"David Fontenot, Scott Edwards"
Kyndi,0e07413a-8ec5-feb2-3bb4-fc194aa04ca5,https://www.crunchbase.com/organization/kyndi,4,"Arun Majumdar, Paul Tarau, Ryan Welsh, Shafe Ramsey"
Cosmic,0e076dc5-d21b-2b69-5b8b-aa648bb35e79,https://www.crunchbase.com/organization/cosmic,3,"Alex Adelman, Matt Senter, Pearson Cunningham"
Magic,0e303df9-e0ff-3061-5d97-c0d49de13019,https://www.crunchbase.com/organization/magic,6,"Aaron Kemmer, Benjamin Godlove, David Merriman, Michael Rubin, Mike Chen, Nic Novak"
Helpshift,0e5377c3-17f7-5dbf-f830-da6cd8992751,https://www.crunchbase.com/organization/helpshift-inc,2,"Abinash Tripathy, Baishampayan Ghose"
StreetLight Data,0e9b4779-80dc-b75a-868d-b43de012a836,https://www.crunchbase.com/organization/streetlight-data,3,"Laura Schewel, Paul Friedman, Rich Miller"
USEREADY,0ee4aee3-f863-5bd8-a7ca-514e662b6acf,https://www.crunchbase.com/organization/useready,2,"Lalit Bakshi, Uday Hegde"
Rocket Fuel,0ef4c55d-1be2-cbf8-5dc1-8522bfa2b268,https://www.crunchbase.com/organization/rocket-fuel,3,"Abhinav Gupta, George John, Randy Wootton"
BOND,0f294eaf-04d2-778c-adca-ef9680b44b6b,https://www.crunchbase.com/organization/bond,3,"Andy Ellwood, Angelo Bruno, Sonny Caberwal"
HealthJoy,0f306cef-1770-2bff-fe57-7862c921b9f0,https://www.crunchbase.com/organization/healthjoy,2,"Doug Morse-Schindler, Justin Holland"
Appsbee Technology Pvt. Ltd,0f40de29-90e2-e02b-181a-c4f912cbf32e,https://www.crunchbase.com/organization/appsbee-solutions,2,"Jayanta Karmakar, Soumen Das"
Fungible,0f92700e-37c7-d394-ced7-c14c9c621d41,https://www.crunchbase.com/organization/fungible-inc,2,"Bertrand Serlet, Pradeep Sindhu"
"MANSCAPED, Inc.",0f9d6c42-8afd-43a4-9577-a9cd19b0b427,https://www.crunchbase.com/organization/manscaped-inc,2,"Paul Tran, Steve King"
